Metric,Weight
Betas by Sector_Number of firms,0.1
Betas by Sector_Beta,0.105
Betas by Sector_D/E Ratio,0.11
Betas by Sector_Effective Tax rate,0.115
Betas by Sector_Unlevered beta,0.12
Betas by Sector_Cash/Firm value,0.125
Betas by Sector_Unlevered beta corrected for cash,0.13
Betas by Sector_HiLo Risk,0.135
Betas by Sector_Standard deviation of equity,0.14
Betas by Sector_Standard deviation in operating income (last 10 years),0.145
Betas by Sector_2019.0,0.15
Betas by Sector_2020.0,0.155
Betas by Sector_2021.0,0.16
Betas by Sector_2022.0,0.165
Betas by Sector_Average (2019-23),0.17
Total Betas by Sector_Number of firms,0.175
Total Betas by Sector_Average Unlevered Beta,0.18
Total Betas by Sector_Average Levered Beta,0.185
Total Betas by Sector_Average correlation with the market,0.19
Total Betas by Sector_Total Unlevered Beta,0.195
Total Betas by Sector_Total Levered Beta,0.2
Insider and Institutional Holdi_Number of Firms,0.205
Insider and Institutional Holdi_CEO Holding,0.21
Insider and Institutional Holdi_Corporate Holdings,0.215
Insider and Institutional Holdi_Institutional Holdings,0.22
Insider and Institutional Holdi_Insider Holdings,0.225
Cost of Equity and Capital by S_Number of Firms,0.23
Cost of Equity and Capital by S_Beta,0.235
Cost of Equity and Capital by S_Cost of Equity,0.24
Cost of Equity and Capital by S_E/(D+E),0.245
Cost of Equity and Capital by S_Std Dev in Stock,0.25
Cost of Equity and Capital by S_Cost of Debt,0.255
Cost of Equity and Capital by S_Tax Rate,0.26
Cost of Equity and Capital by S_After-tax Cost of Debt,0.265
Cost of Equity and Capital by S_D/(D+E),0.27
Cost of Equity and Capital by S_Cost of Capital,0.275
Aggregate Values in USD (Millio_Number of firms,0.28
Aggregate Values in USD (Millio_Average Company Age (years),0.285
Aggregate Values in USD (Millio_Market Cap ($ millions),0.29
Aggregate Values in USD (Millio_Book Equity ($ millions),0.295
Aggregate Values in USD (Millio_Enteprise Value ($ millions),0.3
Aggregate Values in USD (Millio_Invested Capital ($ millions),0.305
Aggregate Values in USD (Millio_Total Debt (including leases) ($ millions),0.31
Aggregate Values in USD (Millio_Revenues ($ millions),0.315
Aggregate Values in USD (Millio_Gross Profit ($ millions),0.32
Aggregate Values in USD (Millio_EBITDA ($ millions),0.325
Aggregate Values in USD (Millio_EBIT (Operating Income) ($ millions),0.33
Aggregate Values in USD (Millio_Net Income ( $ millions),0.335
Economic Value Added by Sector_Number of Firms,0.34
Economic Value Added by Sector_Beta,0.345
Economic Value Added by Sector_ROE,0.35
Economic Value Added by Sector_Cost of Equity,0.355
Economic Value Added by Sector_(ROE - COE),0.36
Economic Value Added by Sector_BV of Equity,0.365
Economic Value Added by Sector_Equity EVA (US $ millions),0.37
Economic Value Added by Sector_ROC,0.375
Economic Value Added by Sector_Cost of Capital,0.38
Economic Value Added by Sector_(ROC - WACC),0.385
